year,city-jaipur,global,city-moving-avg,global-moving-avg
1796,25.25,8.27,,
1797,26.77,8.51,,
1798,24.46,8.67,,
1799,25.51,8.51,,
1800,25.44,8.48,,
1801,24.38,8.59,,
1802,25.87,8.58,,
1803,25.62,8.5,,
1804,25.93,8.84,,
1805,25.54,8.56,25.477,8.551
1806,25.45,8.43,25.497,8.567
1807,25.09,8.28,25.329,8.544
1813,24.79,7.74,25.362,8.451
1814,23.95,7.59,25.206,8.359
1815,24.32,7.24,25.094,8.235
1816,23.91,6.94,25.047,8.07
1817,24.09,6.98,24.869,7.91
1818,24.62,7.83,24.769,7.843
1819,24.17,7.37,24.593,7.696
1820,24.37,7.62,24.476,7.602
1821,25.04,8.09,24.435,7.568
1822,25.13,8.19,24.439,7.559
1823,24.88,7.72,24.448,7.557
1824,25.54,8.55,24.607,7.653
1825,25.34,8.39,24.709,7.768
1826,25.35,8.36,24.853,7.91
1827,25.57,8.81,25.001,8.093
1828,25.13,8.17,25.052,8.127
1829,24.94,7.94,25.129,8.184
1830,25.28,8.52,25.22,8.274
1831,24.68,7.64,25.184,8.229
1832,24.84,7.45,25.155,8.155
1833,25.07,8.01,25.174,8.184
1834,25.07,8.15,25.127,8.144
1835,24.17,7.39,25.01,8.044
1836,24.76,7.7,24.951,7.978
1837,24.64,7.38,24.858,7.835
1838,24.63,7.51,24.808,7.769
1839,24.74,7.63,24.788,7.738
1840,24.92,7.8,24.752,7.666
1841,24.69,7.69,24.753,7.671
1842,25,8.02,24.769,7.728
1843,24.93,8.17,24.755,7.744
1844,24.6,7.65,24.708,7.694
1845,24.84,7.85,24.775,7.74
1846,25.42,8.55,24.841,7.825
1847,24.89,8.09,24.866,7.896
1848,24.74,7.98,24.877,7.943
1849,24.75,7.98,24.878,7.978
1850,24.99,7.9,24.885,7.988
1851,24.99,8.18,24.915,8.037
1852,24.92,8.1,24.907,8.045
1853,25.12,8.04,24.926,8.032
1854,25.25,8.21,24.991,8.088
1855,25.41,8.11,25.048,8.114
1856,24.06,8,24.912,8.059
1857,24.52,7.76,24.875,8.026
1869,24.25,8.43,24.826,8.071
1870,25.11,8.2,24.862,8.093
1871,25.1,8.12,24.873,8.115
1872,25.14,8.19,24.888,8.116
1873,25.26,8.35,24.922,8.141
1874,24.46,8.43,24.856,8.18
1875,25.56,7.86,24.887,8.145
1876,25.16,8.08,24.862,8.142
1877,25.38,8.54,24.994,8.196
1878,25.72,8.83,25.114,8.303
1879,25.04,8.17,25.193,8.277
1880,25.5,8.12,25.232,8.269
1881,25.27,8.27,25.249,8.284
1882,25.07,8.13,25.242,8.278
1883,24.8,7.98,25.196,8.241
1884,24.7,7.77,25.22,8.175
1885,24.53,7.92,25.117,8.181
1886,25.24,7.95,25.125,8.168
1887,25.05,7.91,25.092,8.105
1888,24.99,8.09,25.019,8.031
1889,25.31,8.32,25.046,8.046
1890,25.41,7.97,25.037,8.031
1891,25.06,8.02,25.016,8.006
1892,25.65,8.07,25.074,8
1893,24.05,8.06,24.999,8.008
1894,24.85,8.16,25.014,8.047
1895,25.47,8.15,25.108,8.07
1896,25.93,8.21,25.177,8.096
1897,25.46,8.29,25.218,8.134
1898,25.84,8.18,25.303,8.143
1899,26.31,8.4,25.403,8.151
1900,25.82,8.5,25.444,8.204
1901,25.89,8.54,25.527,8.256
1902,26.1,8.3,25.572,8.279
1903,25.24,8.22,25.691,8.295
1904,25.38,8.09,25.744,8.288
1905,25.44,8.23,25.741,8.296
1906,25.45,8.38,25.693,8.313
1907,25.33,7.95,25.68,8.279
1908,25.08,8.19,25.604,8.28
1909,24.75,8.18,25.448,8.258
1910,24.87,8.22,25.353,8.23
1911,25.77,8.18,25.341,8.194
1912,25.6,8.17,25.291,8.181
1913,25.34,8.3,25.301,8.189
1914,25.54,8.59,25.317,8.239
1915,26.32,8.59,25.405,8.275
1916,25.2,8.23,25.38,8.26
1917,24,8.02,25.247,8.267
1918,25.51,8.13,25.29,8.261
1919,25.1,8.38,25.325,8.281
1920,25.12,8.36,25.35,8.295
1921,26.35,8.57,25.408,8.334
1922,25.45,8.41,25.393,8.358
1923,25.45,8.42,25.404,8.37
1924,25.12,8.51,25.362,8.362
1925,25.27,8.53,25.257,8.356
1926,25.05,8.73,25.242,8.406
1927,24.8,8.52,25.322,8.456
1928,25.75,8.63,25.346,8.506
1929,25.5,8.24,25.386,8.492
1930,25.36,8.63,25.41,8.519
1931,25.7,8.72,25.345,8.534
1932,25.84,8.71,25.384,8.564
1933,24.74,8.34,25.313,8.556
1934,25.11,8.63,25.312,8.568
1935,24.86,8.52,25.271,8.567
1936,25.16,8.55,25.282,8.549
1937,25.15,8.7,25.317,8.567
1938,25.69,8.86,25.311,8.59
1939,25.68,8.76,25.329,8.642
1940,25.39,8.76,25.332,8.655
1941,26.5,8.77,25.412,8.66
1942,25.5,8.73,25.378,8.662
1943,25.41,8.76,25.445,8.704
1944,25.19,8.85,25.453,8.726
1945,24.8,8.58,25.447,8.732
1946,25.76,8.68,25.507,8.745
1947,25.88,8.8,25.58,8.755
1948,25.78,8.75,25.589,8.744
1949,26.01,8.59,25.622,8.727
1950,24.79,8.37,25.562,8.688
1951,25.87,8.63,25.499,8.674
1952,26.05,8.64,25.554,8.665
1953,26.3,8.87,25.643,8.676
1954,25.89,8.56,25.713,8.647
1955,25.39,8.63,25.772,8.652
1956,25.27,8.28,25.723,8.612
1957,25.16,8.73,25.651,8.605
1958,26.18,8.77,25.691,8.607
1959,25.58,8.73,25.648,8.621
1960,25.69,8.58,25.738,8.642
1961,25.01,8.8,25.652,8.659
1962,25.36,8.75,25.583,8.67
1963,25.99,8.86,25.552,8.669
1964,25.43,8.41,25.506,8.654
1965,25.72,8.53,25.539,8.644
1966,25.78,8.6,25.59,8.676
1967,25.11,8.7,25.585,8.673
1968,25.35,8.52,25.502,8.648
1969,26.16,8.6,25.56,8.635
1970,25.6,8.7,25.551,8.647
1971,25.09,8.6,25.559,8.627
1972,25.57,8.5,25.58,8.602
1973,25.65,8.95,25.546,8.611
1974,25.75,8.47,25.578,8.617
1975,25.08,8.74,25.514,8.638
1976,25.58,8.35,25.494,8.613
1977,25.6,8.85,25.543,8.628
1978,25.48,8.69,25.556,8.645
1979,25.9,8.73,25.53,8.658
1980,26.31,8.98,25.601,8.686
1981,26.08,9.17,25.7,8.743
1982,25.46,8.64,25.689,8.757
1983,24.99,9.03,25.623,8.765
1984,25.62,8.69,25.61,8.787
1985,26.09,8.66,25.711,8.779
1986,25.6,8.83,25.713,8.827
1987,26.73,8.99,25.826,8.841
1988,26.5,9.2,25.928,8.892
1989,25.76,8.92,25.914,8.911
1990,25.77,9.23,25.86,8.936
1991,25.99,9.18,25.851,8.937
1992,25.73,8.84,25.878,8.957
1993,26.32,8.87,26.011,8.941
1994,25.92,9.04,26.041,8.976
1995,26.13,9.35,26.045,9.045
1996,25.79,9.04,26.064,9.066
1997,24.83,9.2,25.874,9.087
1998,26.27,9.52,25.851,9.119
1999,26.42,9.29,25.917,9.156
2000,26.43,9.2,25.983,9.153
2001,26.02,9.41,25.986,9.176
2002,27.03,9.57,26.116,9.249
2003,26.03,9.53,26.087,9.315
2004,26.64,9.32,26.159,9.343
2005,25.77,9.7,26.123,9.378
2006,26.43,9.53,26.187,9.427
2007,26.27,9.73,26.331,9.48
2008,25.88,9.43,26.292,9.471
2009,26.92,9.51,26.342,9.493
2010,26.82,9.7,26.381,9.543
2011,25.92,9.52,26.371,9.554
2012,25.88,9.51,26.256,9.548
2013,26.84,9.61,26.337,9.556
